,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
4501,4/20/2020,India,,,,India,FactCrescendo,Image of Sevabharathi workers in India caught in Excise raid for illegally distilling alcohol.,Facebook,http://archive.is/wip/Hxlik,https://www.malayalam.factcrescendo.com/misleading-post-against-sewabharathi-using-image-of-bootleggers-arrested-in-amaravila/,Malayalam,false,The image of two bootleggers caught by Excise officers in Thiruvananthapuram was used to make the false claim.,other,['India'],archive.is,https://www.facebook.com/photo.php?fbid=909189962852932&set=a.161897084248894&type=3,facebook.com,2020-04-20,"['image', 'sevabharathi', 'workers', 'india', 'caught', 'excise', 'raid', 'illegally', 'distilling', 'alcohol']"
4739,4/24/2020,Philippines,,,,Philippines,VERA Files,A video shows a woman demonstrating how mixing rum and bleach can make rubbing alcohol.,FB user,https://www.facebook.com/shiela.conde.127/videos/139025790962159/,https://verafiles.org/articles/vera-files-fact-check-demo-video-falsely-claims-rum-bleach-m,English,false,This is false and unsafe. The Integrated Chemists of the Philippines and the manufacturers of the materials used in the video have issued advisories warning that the concoction is not a substitute for disinfectant.,other,['Philippines'],facebook.com,https://www.facebook.com/shiela.conde.127/videos/139025790962159/,facebook.com,2020-04-24,"['video', 'shows', 'woman', 'demonstrating', 'mixing', 'rum', 'bleach', 'rubbing', 'alcohol']"
4788,4/27/2020,Brazil,,,,Brazil,Agência Lupa,"A video of a car on fire. In the caption, it says that alcohol-based hand sanitizer caused the fire.",Facebook posts,https://www.facebook.com/cassia.mussuline/videos/2985511094903869/,https://piaui.folha.uol.com.br/lupa/2020/04/27/verificamos-incendio-em-carro-video-alcool-em-gel/,Portuguese,false,"Although the video is recent, the fire started on the engine. According to local firefighters, there was no hand sanitizer inside the car",other,['Brazil'],facebook.com,https://www.facebook.com/cassia.mussuline/videos/2985511094903869/,facebook.com,2020-04-27,"['video', 'car', 'caption', 'says', 'alcohol', 'based', 'hand', 'sanitizer', 'caused']"
4842,4/28/2020,Brazil,,,,Brazil,Estadão Verifica,Alcohol gel for hands goes into auto-combustion if left in a car in the sun during a hot day.,Facebook posts,https://www.facebook.com/photo.php?fbid=237366874281407&set=a.102520797766016&type=3&theater,https://politica.estadao.com.br/blogs/estadao-verifica/alcool-em-gel-nao-pega-fogo-sozinho-se-deixado-dentro-de-um-carro-no-sol/,Portuguese,mostly false,Alcohol gel only bursts itself to flames at 363 ºC. The temperature inside a car left in the sun on a hot day does not reach that.,other,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=237366874281407&set=a.102520797766016&type=3&theater,facebook.com,2020-04-28,"['alcohol', 'gel', 'hands', 'goes', 'auto', 'combustion', 'left', 'car', 'sun', 'hot', 'day']"
4846,4/28/2020,Brazil,,,,Brazil,Aos Fatos,Alcohol flasks or alcohol-based hand sanitizer left inside vehicles can ignite with the sun heat.,Facebook profiles,https://static.aosfatos.org/media/cke_uploads/2020/04/28/28-4_alcool-gel-carro-selo.jpg,https://aosfatos.org/noticias/e-falso-que-alcool-deixado-dentro-de-veiculo-pode-pegar-fogo/,Portuguese,false,"The self-ignition point of the substance (when it burns even without contact with a spark or flame) is more than 300º C, according to specialists heard by Aos Fatos. The average temperature of cars exposed to the sun reaches 65º C, according to a study by the State University of Maringá.",other,['Brazil'],aosfatos.org,https://static.aosfatos.org/media/cke_uploads/2020/04/28/28-4_alcool-gel-carro-selo.jpg,aosfatos.org,2020-04-28,"['alcohol', 'flasks', 'alcohol', 'based', 'hand', 'sanitizer', 'left', 'inside', 'vehicles', 'ignite', 'sun', 'heat']"
5318,5/8/2020,India,,,,India,BOOM FactCheck,Actress Deepika Padukone was seen buying alcohol during the lockdown in India.,Facebook & WhatsApp,https://www.facebook.com/vikas.bhatia.184/posts/3533227693360678,https://hindi.boomlive.in/fake-news/deepika-padukone-spotted-buying-alcohol-during-the-lockdown-not-quite-8009,Hindi,false,The video is of another actress Rakul Preet Singh who had stepped out to buy medicines.,other,['India'],facebook.com,https://www.facebook.com/vikas.bhatia.184/posts/3533227693360678,facebook.com,2020-05-08,"['actress', 'deepika', 'padukone', 'seen', 'buying', 'alcohol', 'lockdown', 'india']"
5684,5/12/2020,Sri Lanka,,,,Sri Lanka,FactCrescendo,"Due to the increase in excise tax by 70% for locally manufactured alcohol, the price of bottle of Arrack would be increased to over 3000 LKR, to discourage alcohol consumption once the liquor shops finally open after a long break due to COVID-19 precautionary measures.",FAcebook/WhatsApp/Twitter,https://archive.vn/4axIB,https://srilanka.factcrescendo.com/2020/05/12/fact-check-no-price-revision-on-local-arrack/,Sinhala,false,Excise department confirmed that there was no change in the duty for locally manufactured alcohol and the Arrack manufacturer also confirmed that the prices remain unchanged.,authorities,['Sri Lanka'],archive.vn,https://www.facebook.com/photo.php?fbid=2754020414884416&set=a.1404890459797425&type=3&theater,facebook.com,2020-05-12,"['increase', 'excise', 'tax', 'locally', 'manufactured', 'alcohol', 'price', 'bottle', 'arrack', 'increased', '3000', 'lkr', 'discourage', 'alcohol', 'consumption', 'liquor', 'shops', 'finally', 'open', 'long', 'break', 'covid', 'precautionary', 'measures']"
6176,5/14/2020,India,,,,India,FactCrescendo,Two Muslims boys were brutally beaten and forcefully fed alcohol by Hindu boys in India.,Facebook/Twitter,https://archive.fo/7qIt6#selection-3055.2-3055.192,https://www.factcrescendo.com/fact-check-muslim-boy-beaten-spat-and-forcefully-given-liquor-in-kaushambi/,Hindi,false,The brawl started due to personal differences among the boys. No incident of foceful spitting inside the victim's mouth. He was not forcefed alcohol as well.,other,['India'],archive.fo,https://twitter.com/PAPA20201180/status/1259489154796265473,twitter.com,2020-05-14,"['muslims', 'boys', 'brutally', 'beaten', 'forcefully', 'fed', 'alcohol', 'hindu', 'boys', 'india']"
6550,5/15/2020,Belgium,,,,Belgium,Factcheck.Vlaanderen,Alcohol gel bottles can explode in a hot car.,Facebook posts,https://www.facebook.com/permalink.php?story_fbid=2592460187661969&id=100006940396345,https://factcheck.vlaanderen/factcheck/flesjes-alcoholgel-ontploffen-niet-in-warme-auto,Dutch,false,Alcohol gel cannot self ignite through heat alone.,other,['Belgium'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=2592460187661969&id=100006940396345,facebook.com,2020-05-15,"['alcohol', 'gel', 'bottles', 'explode', 'hot', 'car']"
5847,5/15/2020,Ghana,,,,Ghana,GhanaFact,Drinking alcohol can help fight coronavirus.,YouTube,https://www.youtube.com/watch?v=Ay6aB_NBQ_g,https://ghanafact.com/false-drinking-alcohol-can-help-fight-coronavirus/,English,false,The World Health Organisation(WHO) and the Ghana Food and Drugs Authority (FDA) have dismissed the claim as false.,cures,['Ghana'],youtube.com,https://www.youtube.com/watch?v=Ay6aB_NBQ_g,youtube.com,2020-05-15,"['drinking', 'alcohol', 'help', 'fight', 'coronavirus']"
6065,5/17/2020,Israel,Jordan,Egypt,,"Israel, Jordan, Egypt",Fatabyyano,WHO announced that Alcohol doesn't kill the corona virus.,facebook post,https://www.facebook.com/ViTamishop/photos/basw.AbrMiu3P38foW95FHN_DMyuDNLoMa_vLdBQR7bfBNhNkigdd0PZan3QFi7DVafaseQsJCCgSpyerik3751XUsLAX0jiEXbJMneFDl8a5BMwnm2-OGE2py1VXSnf2xU67RNNiNOFfpt-YxTDdB1s_K6OIcH1qHI-Vp-pwFZF9jTtR5H5r0VpICQDVwKnlMVYHyKTMXix4Os1UX6BIsAxtj8zLFjAhJSLFhRD4nPH_jjA9QxtosiBjxB8fCtEcg4M0fqm3Gs5vAfQolyl6z2NDc2yxFZNbiVe3CmFkOZP7JfwYkoIqTmHHGBOiie-9Q7hc8AtSjGWSG10tNWDHIjrwZKahNDCQLsNNOFvd8JnQR13DpujnqzlNTkR7KrUoXmS-fdm1xj2jMbXwdCbA438GzsYXY_GfTNed0VTzJH9rcrMkMUTpkWnCUjzXQtb7Ql5yJDP6nXnBc0WRNTDH1v7k6qeBhJRql0gjyyBHeS2v3OdLKQ.10156870232325771.710195583148608.2615758275331995.130393341959497.10157994411806357.10158282900798665/2615758275331995/?type=1&opaqueCursor=Abr3gplDUughnjm5i7rWnGn6e9Tra29VfyTcFZ5k2vfJDi0BldzclWOOTilD8lOM8uzRIIqOuzbqOia9hcpCat4NCj6sayfi_D417l_tgDJqjauek6G2-FQU7Q1RZCUeEq5bTL6NEaDTKCDUKKL7Fxr9GJ7BbdfWu_EV6Enpc-auBo_wMDAb5LcLZjZbLoXrQuil4m7QLAT0v6gsSWjnYHDv1kjIPPRCN1KiHIMdJwShhOLf30C_dBUDQtV6CzbaZVnTz7yDV70W8KDnKsgkxfj4q3JTlPvWABXs1DM_4aSNkUqnR6zk6gvgeYnkYbEoVfdzoU6q36fm_UHAa-Cc_o_czPVfvK6Pwlfl8iTmC_kZm4t-EDgpELTwv6l2epVKarmPIa5UxFl7xssoVRRGsZq94Qd2YhYFPYoFCIzXHNkCUHf7PuPlrEKqaXRmBb12sEfuPw_nX0S1ciMWuraOzWr2aQj3bRI1GLadzdIYl9OU3EYSeN02789zeTcC6QPLQC9O34F5v7HiSZ7Z7W3MnnDZUju-5L4eJDR5264df5o0l355gsCORGLr_hTSEVlUl0yLSgTmE4uuXmtBeskFQ4sR6BtasJ90LQr0u2exOPn65JuApTFL5dQYMIMOqxSHA7hH2EwqT4PZ8cf85IS2x5_UJSBMmLsnfMsxPqiE20k9MFZlY6oFR_GATHkdenOian5aQNyHBZXVHLMpy0yZamTRVcIf5qO5UJx_dsmjOgfEcZ5dy4B94OmpsaRJ0d4AqII4eItko1TQrNgMPK6yMQpZaFuK3CiLMb4PbgM-guEUU-ZI0Dw8fS9N44GNPydSCSc&theater,https://fatabyyano.net/%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d9%83%d8%ad%d9%88%d9%84-%d9%84%d8%a7-%d9%8a%d9%82%d8%aa%d9%84-%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88/,Arabic,false,WHO said in Q&A that the right concentration of alcohol can kill coronavirus on surfaces. WHO also recommends the use of alcohol based antiseptics to disinfect hands regurarly. WHO in their mythbusting section said that drinkin alcohol will not prevent or treat COVID-19 as well as covering the whole body with alcohol.,authorities,"['Israel', 'Jordan', 'Egypt']",facebook.com,https://www.facebook.com/ViTamishop/photos/basw.AbrMiu3P38foW95FHN_DMyuDNLoMa_vLdBQR7bfBNhNkigdd0PZan3QFi7DVafaseQsJCCgSpyerik3751XUsLAX0jiEXbJMneFDl8a5BMwnm2-OGE2py1VXSnf2xU67RNNiNOFfpt-YxTDdB1s_K6OIcH1qHI-Vp-pwFZF9jTtR5H5r0VpICQDVwKnlMVYHyKTMXix4Os1UX6BIsAxtj8zLFjAhJSLFhRD4nPH_jjA9QxtosiBjxB8fCtEcg4M0fqm3Gs5vAfQolyl6z2NDc2yxFZNbiVe3CmFkOZP7JfwYkoIqTmHHGBOiie-9Q7hc8AtSjGWSG10tNWDHIjrwZKahNDCQLsNNOFvd8JnQR13DpujnqzlNTkR7KrUoXmS-fdm1xj2jMbXwdCbA438GzsYXY_GfTNed0VTzJH9rcrMkMUTpkWnCUjzXQtb7Ql5yJDP6nXnBc0WRNTDH1v7k6qeBhJRql0gjyyBHeS2v3OdLKQ.10156870232325771.710195583148608.2615758275331995.130393341959497.10157994411806357.10158282900798665/2615758275331995/?type=1&opaqueCursor=Abr3gplDUughnjm5i7rWnGn6e9Tra29VfyTcFZ5k2vfJDi0BldzclWOOTilD8lOM8uzRIIqOuzbqOia9hcpCat4NCj6sayfi_D417l_tgDJqjauek6G2-FQU7Q1RZCUeEq5bTL6NEaDTKCDUKKL7Fxr9GJ7BbdfWu_EV6Enpc-auBo_wMDAb5LcLZjZbLoXrQuil4m7QLAT0v6gsSWjnYHDv1kjIPPRCN1KiHIMdJwShhOLf30C_dBUDQtV6CzbaZVnTz7yDV70W8KDnKsgkxfj4q3JTlPvWABXs1DM_4aSNkUqnR6zk6gvgeYnkYbEoVfdzoU6q36fm_UHAa-Cc_o_czPVfvK6Pwlfl8iTmC_kZm4t-EDgpELTwv6l2epVKarmPIa5UxFl7xssoVRRGsZq94Qd2YhYFPYoFCIzXHNkCUHf7PuPlrEKqaXRmBb12sEfuPw_nX0S1ciMWuraOzWr2aQj3bRI1GLadzdIYl9OU3EYSeN02789zeTcC6QPLQC9O34F5v7HiSZ7Z7W3MnnDZUju-5L4eJDR5264df5o0l355gsCORGLr_hTSEVlUl0yLSgTmE4uuXmtBeskFQ4sR6BtasJ90LQr0u2exOPn65JuApTFL5dQYMIMOqxSHA7hH2EwqT4PZ8cf85IS2x5_UJSBMmLsnfMsxPqiE20k9MFZlY6oFR_GATHkdenOian5aQNyHBZXVHLMpy0yZamTRVcIf5qO5UJx_dsmjOgfEcZ5dy4B94OmpsaRJ0d4AqII4eItko1TQrNgMPK6yMQpZaFuK3CiLMb4PbgM-guEUU-ZI0Dw8fS9N44GNPydSCSc&theater,facebook.com,2020-05-17,"['announced', 'alcohol', 'kill', 'corona', 'virus']"
7402,5/19/2020,United States,,,,United States,Misbar,The World Health Organization shockes the world: alcohol does not kill the virus!,"Facebook, Twitter",https://www.facebook.com/ramy.elrashidy/posts/10157344131816404,https://misbar.com/factcheck/2020/05/19/%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD-%D8%B2%D8%A7%D8%A6%D9%81-%D9%85%D9%86%D8%B3%D9%88%D8%A8-%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,Arabic,false,This statement is fake.,other,['United States'],facebook.com,https://www.facebook.com/ramy.elrashidy/posts/10157344131816404,facebook.com,2020-05-19,"['world', 'health', 'organization', 'shockes', 'world', 'alcohol', 'kill', 'virus']"
