,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
5160,5/5/2020,France,,,,France,CheckNews,"1000+ members of the French navy on of the aircraft carrier ""Charles-de-Gaulle"" were treated with hydroxychloroquine.",Facebook post,http://archive.vn/VWh3K,https://www.liberation.fr/checknews/2020/05/05/les-marins-du-porte-avions-charles-de-gaulle-malades-du-covid-19-ont-ils-recu-de-la-chloroquine_1787387,French,false,"The French military ordered at least 70kg of chloroquine ""in case it appears to be efficient against COVID-19"", but both the French navy and internal sources to the military ensure this medicine was not used for the Charles-de-Gaulle personnel.",other,['France'],archive.vn,https://twitter.com/Franckigevaro/status/1257214300822929409,twitter.com,2020-05-05,"['1000', 'members', 'french', 'navy', 'aircraft', 'carrier', 'charles', 'gaulle', 'treated', 'hydroxychloroquine']"
5375,5/5/2020,United States,,,,United States,Science Feedback,"""Plandemic"" vignette featuring Judy Mikovits claims that coronavirus is manmade; that flu vaccine increases risk of COVID-19; that hydroxychloroquine is effective for treating COVID-19.",Judy Mikovits,https://archive.fo/d07ed,https://healthfeedback.org/plandemic-vignette-featuring-anti-vaccination-activist-judy-mikovits-contains-numerous-false-and-unsupported-claims-about-covid-19/,English,misleading,"Mikovits makes numerous inaccurate and unsupported claims about the origins of the 2019 novel coronavirus, vaccines, and the treatment and prevention of COVID-19. Genomic analyses of the virus indicates it arose naturally; studies have not found that the flu vaccine increases risk of developing COVID-19; hydroxychloroquine has not demonstrated a clear benefit in COVID-19 patients",conspiracy theory,['United States'],archive.fo,https://www.facebook.com/mikki.willis/videos/2769241289853478/,facebook.com,2020-05-05,"['plandemic', 'vignette', 'featuring', 'judy', 'mikovits', 'claims', 'coronavirus', 'manmade', 'flu', 'vaccine', 'increases', 'risk', 'covid', 'hydroxychloroquine', 'effective', 'treating', 'covid']"
5159,5/6/2020,France,,,,France,CheckNews,The former French ministry of Health (Agnès Buzyn) treated a famous movie producer (Raymond Blumenthal) with hydroxychloroquine.,"Facebook posts, website",http://archive.vn/uKNAb,https://www.liberation.fr/checknews/2020/05/05/l-hopital-militaire-de-clamart-traite-t-il-des-malades-du-covid-19-avec-de-l-hydroxychloroquine_1787412,French,false,The producer indeed received Hydroxychloroquine. But the former ministry did not gave it to him (even if she was working in the same hospital).,other,['France'],archive.vn,https://www.medias-presse.info/temoignage-choc-dun-malade-traite-a-la-chloroquine-par-agnes-buzyn-et-gueri/120056/?fbclid=IwAR1zDv3Dnhy7jSL5NcYnWY8wwGxSGKed_-5Z_Pua1vtdb5S6tkHGTPp0b0c,medias-presse.info,2020-05-06,"['french', 'ministry', 'health', 'agnès', 'buzyn', 'treated', 'famous', 'movie', 'producer', 'raymond', 'blumenthal', 'hydroxychloroquine']"
5225,5/6/2020,India,,,,India,FactCrescendo,Video: Americans singing Indian National Anthem thanking India for giving hydroxychloroquine.,Facebook,http://archive.is/wip/rElIL,https://tamil.factcrescendo.com/factcheck-americans-not-tributed-indian-national-anthem-for-medical-help/,Tamil,false,The video is an old video shot by an Indian Youtuber and it is not related to COVID-19.,other,['India'],archive.is,https://www.facebook.com/watch/?v=1799199260228078,facebook.com,2020-05-06,"['video', 'americans', 'singing', 'indian', 'national', 'anthem', 'thanking', 'india', 'giving', 'hydroxychloroquine']"
5929,5/7/2020,Latvia,,,,Latvia,Re:Check,"Judy Mikovits' claims about COVID-19 origins, flu vaccine,  hydroxychloroquine and face masks from the documentary Plandemic retold in FB post.",Facebook,https://www.facebook.com/photo.php?fbid=1862188780578523&set=a.733328656797880&type=3&theater,https://rebaltica.lv/2020/05/neslava-kritusi-petniece-izplata-nepatiesibu-gripas-vakcina-un-maskas-nevar-aktivizet-koronavirusu/,Latvian,false,Mikovits' claims are ungrounded and without a scientific evidence.,conspiracy theory,['Latvia'],facebook.com,https://www.facebook.com/photo.php?fbid=1862188780578523&set=a.733328656797880&type=3&theater,facebook.com,2020-05-07,"['judy', 'mikovits', 'claims', 'covid', 'origins', 'flu', 'vaccine', 'hydroxychloroquine', 'face', 'masks', 'documentary', 'plandemic', 'retold', 'post']"
6347,5/9/2020,Mexico,,,,Mexico,Animal Político,"""THE HYDROXYCHLOROQUINE and AZYTHROMYCIN DID IT. They kill the coronavirus in four days at 100/100. Joy around the world. French scientist achieves the feat by finding the exact dose of these medicines that are well known in the world, are in great existence and are cheap.""",Facebook,https://www.facebook.com/photo.php?fbid=3114684498552523&set=a.713787545308909&type=3&theater,https://www.animalpolitico.com/elsabueso/falso-hidroxicloriquina-azitromicina-covid-19/,Spanish,false,"Although studies are being done to find out the effectiveness of hydroxychloroquine and azithromycin, until May 20 there is still no evidence that these drugs “kill” the coronavirus.",cures,['Mexico'],facebook.com,https://www.facebook.com/photo.php?fbid=3114684498552523&set=a.713787545308909&type=3&theater,facebook.com,2020-05-09,"['hydroxychloroquine', 'azythromycin', 'kill', 'coronavirus', 'days', '100', '100', 'joy', 'world', 'french', 'scientist', 'achieves', 'feat', 'finding', 'exact', 'dose', 'medicines', 'known', 'world', 'great', 'existence', 'cheap']"
5467,5/10/2020,France,,,,France,AFP,"Price of hydroxychloroquine-based medicine ""Plaquenil"" in France was multiplied by four.",Social media,https://perma.cc/FJ5R-8BYB?type=image,https://factuel.afp.com/le-prix-de-la-chloroquine-multiplie-par-4-cette-publication-vient-dun-site-parodique,French,false,This information comes from a French parody website.,cures,['France'],perma.cc,http://www.lezard-dans-ma-tete.fr/index.php/niouzes/52-le-prix-de-la-chloroquine-vient-d-etre-multiplie-par-4,lezard-dans-ma-tete.fr,2020-05-10,"['price', 'hydroxychloroquine', 'based', 'medicine', 'plaquenil', 'france', 'multiplied']"
5608,5/13/2020,Ireland,United States,,,"Ireland, United States",TheJournal.ie,"Claims made in the viral video Plandemic include: that the virus was ""manipulated"" in a laboratory setting; that hydroxychloroquine is ""effective against these families of viruses"" and that wearing a mask ""activates"" the virus.",YouTube/Facebook,Unavaliable,https://www.thejournal.ie/plandemic-debunked-5097120-May2020/,English,false,These claims made by Judy Mikovits in Plandemic are untrue. The video has been removed by YouTube and Facebook for spreading misinformation about COVID-19. ,conspiracy theory,"['Ireland', 'United States']",N/A,Unavaliable,N/A,2020-05-13,"['claims', 'viral', 'video', 'plandemic', 'include', 'virus', 'manipulated', 'laboratory', 'setting', 'hydroxychloroquine', 'effective', 'families', 'viruses', 'wearing', 'mask', 'activates', 'virus']"
6111,5/14/2020,United States,,,,United States,PolitiFact,“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,Facebook posts,https://archive.fo/eFYLz,https://www.politifact.com/factchecks/2020/may/19/facebook-posts/hydroxychloroquine-not-proven-treat-covid-19-or-ra/,English,false,"There is no cure or vaccine for the novel coronavirus. Some studies have found that hydroxychloroquine could help alleviate symptoms associated with COVID-19, but the research is not conclusive. Health officials have not listed hydroxychloroquine as a treatment for radiation sickness.",cures,['United States'],archive.fo,https://www.facebook.com/groups/698141807656499/permalink/725836158220397/,facebook.com,2020-05-14,"['hydroxychloroquine', 'cures', 'virus', 'happens', 'treatment', 'radiation', 'sickness']"
6256,5/18/2020,United States,,,,United States,Science Feedback,"Dolores Cahill in Computing Forever interview claims that taking vitamins C and D as well as zinc boosts the immune system against COVID-19, that hydroxychloroquine has been proven effective against COVID-19, and that COVID-19 patients who recover are immune for life, among others.","Dolores Cahill, YouTube",https://archive.fo/KpFYh,https://healthfeedback.org/computing-forever-interview-with-dolores-cahill-contains-numerous-inaccuracies-about-covid-19-and-vaccines/,English,false,"Vitamins C, D and zinc are important nutrients, but these have not been shown to ""boost"" the immune system against COVID-19; scientific studies have not shown that hydroxychloroquine is effective against COVID-19; how long COVID-19 immunity lasts in patients who have recovered is still unknown - much more time is needed before scientists have sufficient data to determine how long immunity against the virus persists.",other,['United States'],archive.fo,https://21stcenturywire.com/2020/05/13/interview-debunking-the-covid-19-narrative-with-prof-dolores-cahill/,21stcenturywire.com,2020-05-18,"['dolores', 'cahill', 'computing', 'forever', 'interview', 'claims', 'taking', 'vitamins', 'zinc', 'boosts', 'immune', 'covid', 'hydroxychloroquine', 'proven', 'effective', 'covid', 'covid', 'patients', 'recover', 'immune', 'life']"
