,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
3385,4/3/2020,India,,,,India,BOOM FactCheck,Lemon bicarbonate as tea and green tea can treat and prevent coronavirus.,Many social media platforms,Unavaliable,https://www.boomlive.in/coronavirus-outbreak/false-different-types-of-tea-can-act-as-a-cure-for-covid-19-7506,English,false,There is no scientific evidence stating that any kind of tea impacts the spread or growth of the novel coronavirus.,cures,['India'],N/A,Unavaliable,N/A,2020-04-03,"['lemon', 'bicarbonate', 'tea', 'green', 'tea', 'treat', 'prevent', 'coronavirus']"
3415,4/3/2020,Ghana,,,,Ghana,Dubawa,"A Facebook video claimed that sobolo, a herbal tea, could cure the novel coronavirus.",Facebook,https://www.facebook.com/388470221537343/videos/652443722256119/?v=652443722256119,https://ghana.dubawa.org/is-sobolo-the-magic-cure-for-coronavirus/,English,false,The claim is inaccurate. The hibiscus flower has not been proven or approved as a singular cure for the coronavirus and China has not ‘cured’ the virus by using the plant. The articles cited in the viral video did not name hibiscus (sobolo) as a coronavirus cure.,cures,['Ghana'],facebook.com,https://www.facebook.com/388470221537343/videos/652443722256119/?v=652443722256119,facebook.com,2020-04-03,"['facebook', 'video', 'claimed', 'sobolo', 'herbal', 'tea', 'cure', 'novel', 'coronavirus']"
3734,4/8/2020,India,,,,India,FactCrescendo,A video shows a man spitting into a bottle of tea and placing it back on a supermarket rack in an attempt to spread the coronavirus infection.,WhatsApp,https://archive.org/details/552videoclaim,https://english.factcrescendo.com/2020/04/09/fact-check-video-from-texas-teen-spitting-into-a-tea-bottle-is-not-related-to-coronavirus/,English,false,The video is old and unrelated; it dates backs to July 2019 from Texas.,other,['India'],archive.org,https://archive.org/details/552videoclaim,archive.org,2020-04-08,"['video', 'shows', 'man', 'spitting', 'bottle', 'tea', 'placing', 'supermarket', 'rack', 'attempt', 'spread', 'coronavirus', 'infection']"
3738,4/8/2020,Myanmar,,,,Myanmar,FactCrescendo,Green tea can cure COVID-19.,Facebook,https://archive.is/HG2KI,https://myanmar.factcrescendo.com/fact-check-green-tea-can-cure-covid-19/,English,false,"The WHO has iterated that while some traditional medicines, western medicines, and home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence of a single medicine to treatment COVID-19 currently.",cures,['Myanmar'],archive.is,https://www.facebook.com/permalink.php?id=113674986937067&story_fbid=122338066070759&_rdc=1&_rdr,facebook.com,2020-04-08,"['green', 'tea', 'cure', 'covid']"
3889,4/9/2020,India,,,,India,Factly,Dr. Li Wenliang (the Chinese whistleblower doctor) has proposed that drinking tea can cure COVID-19.,Social Media,https://archive.fo/dQARo,https://factly.in/there-is-no-scientific-evidence-to-suggest-that-drinking-tea-can-cure-covid-19/,English,false,"While it is true that tea contains methylxanthines, there is no scientific evidence to suggest that drinking tea can cure COVID-19. Also, none reported about Dr. Li Wenliang, an Ophthalmologist, suggesting any such cure for COVID-19.",cures,['India'],archive.fo,https://www.facebook.com/eliboy19/posts/219414399497952,facebook.com,2020-04-09,"['wenliang', 'chinese', 'whistleblower', 'doctor', 'proposed', 'drinking', 'tea', 'cure', 'covid']"
3894,4/10/2020,India,,,,India,Vishvas News,Israel has no deaths from COVID-19; tea made of lemon and bicarbonate can cure coronavirus.,Fb user: Mohan Kashira,https://archive.md/wip/UHaiC,https://www.vishvasnews.com/english/health/fact-check-post-claiming-israel-has-no-deaths-from-covid-19-is-false-tea-made-of-lemon-and-bicarbonate-is-no-cure-for-coronavirus/,English,false,"The post claiming Israel has no deaths from COVID-19 is false. And, hot tea made of lemon and bicarbonate is no cure for novel coronavirus.",cures,['India'],archive.md,https://www.facebook.com/mohan.kashira/posts/2544522515654318,facebook.com,2020-04-10,"['israel', 'deaths', 'covid', 'tea', 'lemon', 'bicarbonate', 'cure', 'coronavirus']"
3951,4/11/2020,India,,,,India,Vishvas News,Israel has no deaths from COVID-19; tea made of lemon and bicarbonate can cure coronavirus.,Fb user: Mohan Kashira,https://archive.md/wip/UHaiC,https://www.vishvasnews.com/health/fact-check-post-claiming-israel-has-no-deaths-from-covid-19-is-false-tea-made-of-lemon-and-bicarbonate-is-no-cure-for-coronavirus-2/,Hindi,false,"The post claiming Israel has no deaths from COVID-19 is false. And, hot tea made of lemon and bicarbonate is not a cure for the novel coronavirus.",cures,['India'],archive.md,https://www.facebook.com/mohan.kashira/posts/2544522515654318,facebook.com,2020-04-11,"['israel', 'deaths', 'covid', 'tea', 'lemon', 'bicarbonate', 'cure', 'coronavirus']"
6663,4/13/2020,Japan,,,,Japan,INFACT,Green tea is effective in preventing infections.,Facebook,Unavaliable,https://infact.press/2020/04/post-5664/,Japanese,no evidence,"It's possible that EGCG, a component of green tea, may have an inhibitory effect on COVID-19, but there are no studies that have conclusively proven this at this time.",cures,['Japan'],N/A,Unavaliable,N/A,2020-04-13,"['green', 'tea', 'effective', 'preventing', 'infections']"
4256,4/15/2020,Indonesia,,,,Indonesia,TEMPO,Drinking hot tea with lemon juice can kill coronavirus.,Whatsapp,https://cdn.tmpo.co/data/2020/04/15/id_930999/930999_720.jpg,https://cekfakta.tempo.co/fakta/734/fakta-atau-hoaks-benarkah-minum-teh-panas-yang-dicampur-perasan-lemon-bisa-bunuh-corona,Bahasa Indonesia,false,"Until now, according to WHO, there has been no vaccine or special drug to prevent or treat COVID-19. In addition, there is no evidence to suggest that lemon or hot tea will kill the virus.",cures,['Indonesia'],tmpo.co,https://cdn.tmpo.co/data/2020/04/15/id_930999/930999_720.jpg,tmpo.co,2020-04-15,"['drinking', 'hot', 'tea', 'lemon', 'juice', 'kill', 'coronavirus']"
5116,4/18/2020,India,,,,India,BOOM FactCheck,"Drinking different types of tea can cure coronavirus, that were prescribed in Wuhan by Li Wenliang",WhatsApp,Unavaliable,https://bangla.boomlive.in/health/false-different-types-of-tea-can-act-as-a-cure-for-covid-19-7729,Bangla,false,Li Wenliang didn't mention anything related to tea and cures of COVID-19 and the chemical composition of Tea being made of these various compounds aren't backed by scientific research.,cures,['India'],N/A,Unavaliable,N/A,2020-04-18,"['drinking', 'different', 'types', 'tea', 'cure', 'coronavirus', 'prescribed', 'wuhan', 'wenliang']"
